	gene_id	AF_con1-AF_con2_dPSI	AF_con1-AF_con2_p-val
DDX19B	ENSG00000157349	ENSG00000157349;AF:16:70289663:70289705-70312609:70299194:70299354-70312609:+	0.1517616315	0.048951049
DDX19B	ENSG00000157349	ENSG00000157349;AF:16:70289663:70289705-70312609:70299334:70299354-70312609:+	0.3449672273	0.048951049
DYRK1A	ENSG00000157540	ENSG00000157540;AF:21:37365790:37366185-37420299:37368016:37368132-37420299:+	-0.6205648674	0.0256410256
DYRK1A	ENSG00000157540	ENSG00000157540;AF:21:37366773:37367628-37420299:37368016:37368132-37420299:+	-0.6073009097	0.0256410256
DYRK1A	ENSG00000157540	ENSG00000157540;AF:21:37367101:37367628-37420299:37368016:37368132-37420299:+	-0.2704764103	0.0256410256
RER1	ENSG00000157916	ENSG00000157916;AF:1:2391828:2391958-2395784:2393174:2393231-2395784:+	0.1459402046	0.04995005
RADIL	ENSG00000157927	ENSG00000157927;AF:7:4878203-4882109:4882209:4878203-4883596:4883716:-	0.2009459602	0.041958042
CACHD1	ENSG00000158966	ENSG00000158966;AF:1:64470793:64470942-64550594:64505901:64506487-64550594:+	0.4337686371	0.0404595405
MIX23	ENSG00000160124	ENSG00000160124;AF:3:122363027-122365336:122365574:122363027-122383174:122383231:-	0.5034023257	0.026973027
MIX23	ENSG00000160124	ENSG00000160124;AF:3:122371800-122372983:122373022:122371800-122383148:122383227:-	0.2554700412	0.026973027
MIX23	ENSG00000160124	ENSG00000160124;AF:3:122371800-122372983:122373022:122371800-122383174:122383231:-	0.0885245725	0.02997003
RPL22L1	ENSG00000163584	ENSG00000163584;AF:3:170868390-170869965:170870033:170868390-170870159:170870195:-	0.1419003483	0.0194805195
RAD54L2	ENSG00000164080	ENSG00000164080;AF:3:51629391:51629473-51630705:51630322:51630388-51630705:+	-0.277269	0.0494505495
CITED2	ENSG00000164442	ENSG00000164442;AF:6:139373952-139374132:139374213:139373952-139374264:139374362:-	-0.190521619	0.026973027
TMEM65	ENSG00000164983	ENSG00000164983;AF:8:124330792-124348317:124348406:124330792-124351576:124352039:-	-0.2226161466	0.0464535465
TMEM65	ENSG00000164983	ENSG00000164983;AF:8:124330792-124351576:124352039:124330792-124371854:124372157:-	0.3944091093	0.047952048
TMEM65	ENSG00000164983	ENSG00000164983;AF:8:124330792-124351576:124352039:124330792-124371854:124372701:-	0.1564720848	0.0464535465
LARP6	ENSG00000166173	ENSG00000166173;AF:15:70836505-70853347:70853458:70836505-70853889:70854157:-	0.171777851	0.02997003
SENP8	ENSG00000166192	ENSG00000166192;AF:15:72114258:72114543-72139577:72118403:72118464-72139577:+	-0.3360675529	0.027972028
MRPL16	ENSG00000166902	ENSG00000166902;AF:11:59809920-59810240:59810300:59809920-59810604:59810773:-	-0.3966250642	0.040959041
PPP2R3B	ENSG00000167393	ENSG00000167393;AF:X:361590-373532:374044:361590-386368:386907:-	-0.1282353574	0.0134865135
UBXN6	ENSG00000167671	ENSG00000167671;AF:19:4454093-4455414:4455438:4454093-4457615:4457794:-	-0.0646165979	0.03996004
SLC3A2	ENSG00000168003	ENSG00000168003;AF:11:62880896:62881315-62881893:62881699:62881718-62881893:+	-0.6363700536	0.011988012
ALCAM	ENSG00000170017	ENSG00000170017;AF:3:105367343:105367481-105520067:105513325:105513362-105520067:+	-0.1608550585	0.041958042
HOPX	ENSG00000171476	ENSG00000171476;AF:4:56656012-56656344:56656525:56656012-56681255:56681296:-	0.4866956208	0.034965035
CKAP5	ENSG00000175216	ENSG00000175216;AF:11:46821268-46826762:46826853:46821268-46846220:46846280:-	-0.0686221816	0.0204795205
CKAP5	ENSG00000175216	ENSG00000175216;AF:11:46821268-46826762:46826853:46821268-46846220:46846308:-	-0.0707788852	0.0204795205
CRYBG2	ENSG00000176092	ENSG00000176092;AF:1:26324310-26324790:26324981:26324310-26325065:26325120:-	0.4009145541	0.0204795205
GRINA	ENSG00000178719	ENSG00000178719;AF:8:143990083:143990311-143991200:143990677:143990907-143991200:+	-0.324487615	0.047952048
RNF182	ENSG00000180537	ENSG00000180537;AF:6:13924446:13924572-13974210:13924952:13925023-13974210:+	0.131780947	0.0464535465
RNF182	ENSG00000180537	ENSG00000180537;AF:6:13924896:13925023-13976909:13925193:13925366-13976909:+	0.163918591	0.0464535465
IST1	ENSG00000182149	ENSG00000182149;AF:16:71894719:71894858-71915626:71895508:71895589-71915626:+	-0.3094912157	0.02997003
EIF3C	ENSG00000184110	ENSG00000184110;AF:16:28711527:28711787-28713701:28713259:28713323-28713701:+	0.2086435895	0.034965035
EIF3C	ENSG00000184110	ENSG00000184110;AF:16:28712037:28712204-28713701:28713259:28713323-28713701:+	0.3203240698	0.034965035
ARMCX2	ENSG00000184867	ENSG00000184867;AF:X:101658142-101658461:101658621:101658142-101659758:101659833:-	-0.3533757809	0.0224775225
ARMCX2	ENSG00000184867	ENSG00000184867;AF:X:101658142-101658492:101658594:101658142-101659758:101659833:-	-0.2669098422	0.0367132867
ARMCX2	ENSG00000184867	ENSG00000184867;AF:X:101658142-101658492:101658649:101658142-101659758:101659833:-	-0.1423114286	0.0384615385
ZNF286A	ENSG00000187607	ENSG00000187607;AF:17:15699739:15699777-15701152:15700133:15700366-15701152:+	-0.489025569	0.0494505495
NACA	ENSG00000196531	ENSG00000196531;AF:12:56724523-56724826:56724919:56724523-56724962:56725267:-	-0.1180300573	0.044955045
PCBP2	ENSG00000197111	ENSG00000197111;AF:12:53452126:53452376-53454726:53452844:53452975-53454726:+	0.1668588625	0.0494505495
ZBTB14	ENSG00000198081	ENSG00000198081;AF:18:5294001-5295652:5295702:5294001-5295813:5296040:-	0.4877625409	0.041958042
ZBTB14	ENSG00000198081	ENSG00000198081;AF:18:5294001-5295652:5295702:5294001-5297012:5297053:-	0.2494036323	0.041958042
RPL23A	ENSG00000198242	ENSG00000198242;AF:17:28719985:28720030-28720707:28720299:28720328-28720707:+	-0.0875686122	0.027972028
OGA	ENSG00000198408	ENSG00000198408;AF:10:101787523-101790896:101791453:101787523-101792839:101792946:-	0.2088597394	0.0144855145
RUSC2	ENSG00000198853	ENSG00000198853;AF:9:35490111:35490172-35546430:35538980:35539108-35546430:+	-0.1056247343	0.036963037
COL5A2	ENSG00000204262	ENSG00000204262;AF:2:189110449-189179508:189179879:189110449-189225148:189225312:-	-0.3263117373	0.046953047
PPP1R10	ENSG00000204569	ENSG00000204569;AF:6:30616998-30617224:30617244:30616998-30618558:30618612:-	-0.1488892409	0.048951049
SERF1B	ENSG00000205572	ENSG00000205572;AF:5:70025356:70025458-70026407:70025587:70025731-70026407:+	0.3037631482	0.04995005
DNAJC19	ENSG00000205981	ENSG00000205981;AF:3:180988229-180989332:180989518:180988229-180989600:180989703:-	-0.3068238842	0.0266400266
DNAJC19	ENSG00000205981	ENSG00000205981;AF:3:180988229-180989332:180989518:180988229-180989600:180989736:-	-0.0790331651	0.0374625375
DNAJC19	ENSG00000205981	ENSG00000205981;AF:3:180988229-180989332:180989518:180988229-180989600:180989763:-	-0.4845883602	0.0266400266
DNAJC19	ENSG00000205981	ENSG00000205981;AF:3:180988229-180989332:180989518:180988229-180989600:180989769:-	-0.2878983387	0.0266400266
CSNK1E	ENSG00000213923	ENSG00000213923;AF:22:38314169-38316665:38316973:38314169-38317160:38317439:-	0.1339283776	0.0223776224
CSNK1E	ENSG00000213923	ENSG00000213923;AF:22:38314169-38316665:38316973:38314169-38317986:38318084:-	-0.6888130996	0.0
CSNK1E	ENSG00000213923	ENSG00000213923;AF:22:38314169-38317160:38317411:38314169-38317986:38318084:-	-0.7563052892	0.0
CSNK1E	ENSG00000213923	ENSG00000213923;AF:22:38314169-38317160:38317433:38314169-38317986:38318084:-	-0.1577587056	0.0008741259
CSNK1E	ENSG00000213923	ENSG00000213923;AF:22:38314169-38317160:38317439:38314169-38317986:38318084:-	-0.7256303454	0.0
MYCBP	ENSG00000214114	ENSG00000214114;AF:1:38867610-38872573:38872605:38867610-38873018:38873278:-	-0.2876042853	0.020979021
LINC02981	ENSG00000214870	ENSG00000214870;AF:7:26398652:26398738-26399246:26398853:26399021-26399246:+	-0.3405261349	0.0314685315
LINC01766	ENSG00000224910	ENSG00000224910;AF:19:35557678:35557833-35575614:35557919:35558027-35575614:+	-0.07358497	0.018981019
LINC01766	ENSG00000224910	ENSG00000224910;AF:19:35557678:35557833-35575614:35557956:35558027-35575614:+	-0.0534023157	0.018981019
	ENSG00000227388	ENSG00000227388;AF:9:35772311:35772376-35786647:35786187:35786323-35786647:+	0.4403163582	0.0304695305
LINC01201	ENSG00000228659	ENSG00000228659;AF:X:130981856-131039713:131039846:130981856-131067378:131067468:-	-0.3868265554	0.0194805195
HGH1	ENSG00000235173	ENSG00000235173;AF:8:144137810:144138428-144138715:144138466:144138614-144138715:+	-0.4333701454	0.027972028
DICER1-AS1	ENSG00000235706	ENSG00000235706;AF:14:95158819:95159035-95179499:95177483:95179378-95179499:+	0.2961787031	0.041958042
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681669:15681784-15686236:15681791:15681901-15686236:+	-0.1927324953	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681669:15681784-15686236:15681827:15681901-15686236:+	-0.1631196604	0.0482850483
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681669:15681784-15686236:15681835:15681968-15686236:+	-0.1860759586	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681669:15681784-15686236:15684682:15684765-15686236:+	-0.5029874546	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681752:15681901-15686236:15684682:15684765-15686236:+	-0.1111875282	0.0421396785
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681754:15682021-15686236:15684682:15684765-15686236:+	-0.2706096567	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681756:15681901-15686236:15684682:15684765-15686236:+	-0.416794327	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681757:15681968-15686236:15684682:15684765-15686236:+	-0.2640810293	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681791:15681901-15686236:15684682:15684765-15686236:+	-0.221364276	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681827:15681901-15686236:15684682:15684765-15686236:+	-0.1895332013	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681835:15681968-15686236:15684682:15684765-15686236:+	-0.2049578055	0.0405594406
FAM200B	ENSG00000237765	ENSG00000237765;AF:4:15681861:15682021-15686236:15684682:15684765-15686236:+	-0.2761654973	0.0405594406
RPL36A	ENSG00000241343	ENSG00000241343;AF:X:101391011:101391046-101391459:101391202:101391235-101391459:+	-0.0560456768	0.034965035
PDXP	ENSG00000241360	ENSG00000241360;AF:22:37658723:37659356-37665555:37664911:37665103-37665555:+	-0.0510306949	0.031968032
MCPH1-DT	ENSG00000246089	ENSG00000246089;AF:8:6405120-6405589:6406545:6405120-6407082:6407308:-	-0.2969618036	0.038961039
CHD1-DT	ENSG00000248489	ENSG00000248489;AF:5:98928861:98928964-98961443:98929144:98929311-98961443:+	0.5189141383	0.034965035
GLI4	ENSG00000250571	ENSG00000250571;AF:8:143267434:143267484-143274704:143269358:143269520-143274704:+	0.2786626942	0.040959041
LINC02440	ENSG00000255618	ENSG00000255618;AF:12:118773775-118774256:118774457:118773775-118774486:118774837:-	0.3096022315	0.0427072927
LINC02440	ENSG00000255618	ENSG00000255618;AF:12:118773775-118774304:118774452:118773775-118774486:118774837:-	0.3208136102	0.0427072927
	ENSG00000260978	ENSG00000260978;AF:15:23486456-23565406:23565610:23486456-23569297:23569335:-	0.1544288086	0.0444555445
	ENSG00000261804	ENSG00000261804;AF:16:53373558:53373877-53384174:53378456:53378604-53384174:+	0.4012699825	0.035964036
FXYD1	ENSG00000266964	ENSG00000266964;AF:19:35138824:35138894-35140076:35139726:35139767-35140076:+	0.2815172907	0.043956044
FXYD1	ENSG00000266964	ENSG00000266964;AF:19:35139441:35139588-35140076:35139726:35139767-35140076:+	0.3309995389	0.043956044
IER3-AS1	ENSG00000272273	ENSG00000272273;AF:6:30741859:30741935-30743234:30742744:30742923-30743234:+	-0.4508470991	0.0234765235
LINC02018	ENSG00000272690	ENSG00000272690;AF:3:75435308:75435413-75443508:75436010:75436352-75443508:+	0.3991005407	0.0304695305
	ENSG00000280145	ENSG00000280145;AF:21:6632437-6634604:6638337:6632437-6670522:6670665:-	-0.3002766476	0.033966034
	ENSG00000286747	ENSG00000286747;AF:1:247104564:247104919-247105530:247105405:247105440-247105530:+	-0.2550744111	0.0434565435
	ENSG00000287978	ENSG00000287978;AF:1:146376529:146376682-146387546:146387115:146387322-146387546:+	-0.2234527284	0.027972028
	ENSG00000287978	ENSG00000287978;AF:1:146376529:146376682-146387546:146387121:146387324-146387546:+	-0.2558496516	0.027972028
	ENSG00000287978	ENSG00000287978;AF:1:146376529:146376682-146387546:146387143:146387300-146387546:+	-0.3259559483	0.027972028
	ENSG00000289405	ENSG00000289405;AF:8:134808619-134812985:134813011:134808619-134831982:134832014:-	0.3333333333	0.0464535465
	ENSG00000297280	ENSG00000297280;AF:8:101154647-101154962:101155063:101154647-101155580:101155713:-	-0.3333333333	0.037962038
	ENSG00000298669	ENSG00000298669;AF:X:132022040-132022868:132023197:132022040-132025190:132025278:-	-0.3543411104	0.034965035
	ENSG00000299851	ENSG00000299851;AF:11:58899758-58900702:58900787:58899758-58905027:58905853:-	0.3187126388	0.0324675325
	ENSG00000300673	ENSG00000300673;AF:9:96419066-96419278:96419336:96419066-96419439:96419477:-	-0.3333333333	0.036963037
	ENSG00000302221	ENSG00000302221;AF:7:128462512-128462803:128463177:128462512-128476794:128477234:-	-0.3165833703	0.0494505495
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140701:-	0.3173141915	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140735:-	0.2911173799	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140743:-	0.3598574165	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140744:-	0.3137691071	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140755:-	0.2467871143	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140763:-	0.3091967349	0.0376623377
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140774:-	0.317194163	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140784:-	0.3350140487	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140785:-	0.3702593056	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140793:-	0.3384352256	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140843:-	0.2882089255	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140844:-	0.3327939906	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140846:-	0.3229499973	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140847:-	0.2803031184	0.0361781076
	ENSG00000307088	ENSG00000307088;AF:GL000205.2:138302-140327:140460:138302-140573:140851:-	0.2164933711	0.0361781076
