	gene_id	SE_con1-SE_con2_dPSI	SE_con1-SE_con2_p-val
ZNF772	ENSG00000197128	ENSG00000197128;SE:19:57474421-57476634:57476672-57477277:-	0.1677917984	0.0454545455
COL4A6	ENSG00000197565	ENSG00000197565;SE:X:108169620-108169945:108170016-108170609:-	-0.0553319049	0.0374625375
TOPORS	ENSG00000197579	ENSG00000197579;SE:9:32544326-32550774:32550968-32552434:-	0.0867624345	0.040959041
RPL23A	ENSG00000198242	ENSG00000198242;SE:17:28720328-28720414:28720430-28720707:+	-0.1994861106	0.0
ZNF480	ENSG00000198464	ENSG00000198464;SE:19:52315962-52317416:52317513-52321579:+	-0.1947499394	0.0164835165
SFT2D1	ENSG00000198818	ENSG00000198818;SE:6:166330247-166331385:166331407-166342419:-	0.0657171112	0.017982018
EEF1AKMT2	ENSG00000203791	ENSG00000203791;SE:10:124760503-124762300:124762558-124765392:-	0.0826373468	0.021978022
PPP1R10	ENSG00000204569	ENSG00000204569;SE:6:30609955-30614549:30614602-30616478:-	-0.0646329591	0.022977023
RACK1	ENSG00000204628	ENSG00000204628;SE:5:181237042-181238099:181238239-181239067:-	-0.4554502115	0.0404595405
DCTN1	ENSG00000204843	ENSG00000204843;SE:2:74363427-74363614:74363628-74365075:-	0.0857237096	0.0174825175
ZBTB48	ENSG00000204859	ENSG00000204859;SE:1:6580136-6580541:6581299-6582058:+	-0.1323367924	0.0414585415
ITSN1	ENSG00000205726	ENSG00000205726;SE:21:33819323-33826818:33826863-33829624:+	0.2170262732	0.048951049
TAFA5	ENSG00000219438	ENSG00000219438;SE:22:48576571-48646597:48646746-48707717:+	-0.0609555893	0.0394605395
EMSLR	ENSG00000232445	ENSG00000232445;SE:7:101308548-101309614:101309694-101310484:+	-0.2070837027	0.0434565435
NPIPA9	ENSG00000233024	ENSG00000233024;SE:16:18368386-18372578:18372854-18374832:-	0.0651670438	0.045954046
NPIPA9	ENSG00000233024	ENSG00000233024;SE:16:18368386-18372723:18372854-18374832:-	-0.1024018125	0.021978022
TRIM26	ENSG00000234127	ENSG00000234127;SE:6:30201138-30204656:30204765-30213305:-	-0.0968833396	0.032967033
HLA-B	ENSG00000234745	ENSG00000234745;SE:6:31354665-31355107:31355223-31355317:-	0.0527715876	0.013986014
DDOST	ENSG00000244038	ENSG00000244038;SE:1:20655779-20656101:20656187-20660881:-	0.064034637	0.001998002
OIP5-AS1	ENSG00000247556	ENSG00000247556;SE:15:41286100-41298041:41298334-41308567:+	-0.2386353009	0.02997003
GPR162	ENSG00000250510	ENSG00000250510;SE:12:6821900-6823468:6823763-6825484:+	-0.1014133588	0.0364635365
GPR162	ENSG00000250510	ENSG00000250510;SE:12:6821900-6823468:6824765-6825484:+	-0.0802569477	0.0364635365
GLI4	ENSG00000250571	ENSG00000250571;SE:8:143267484-143269360:143269520-143274704:+	-0.1152574054	0.0464535465
MRPS30-DT	ENSG00000251141	ENSG00000251141;SE:5:44777328-44777909:44777992-44808642:-	-0.2901134799	0.044955045
PXN-AS1	ENSG00000255857	ENSG00000255857;SE:12:120201426-120206545:120206621-120209839:+	-0.1914862244	0.0284715285
HMBS	ENSG00000256269	ENSG00000256269;SE:11:119088707-119089082:119089131-119089217:+	-0.1733800909	0.002997003
C17orf49	ENSG00000258315	ENSG00000258315;SE:17:7016685-7016910:7017014-7017257:+	0.081412255	0.0284715285
LINC01833	ENSG00000259439	ENSG00000259439;SE:2:44922295-44923036:44923579-44938823:-	0.3201466787	0.021978022
LINC01833	ENSG00000259439	ENSG00000259439;SE:2:44922295-44923371:44923579-44938823:-	0.2895180085	0.033966034
	ENSG00000271147	ENSG00000271147;SE:X:102599847-102600920:102601032-102601464:+	0.1205620211	0.0326340326
	ENSG00000271147	ENSG00000271147;SE:X:102599847-102601464:102601509-102605482:+	-0.1989384269	0.021978022
	ENSG00000271147	ENSG00000271147;SE:X:102601509-102601880:102601977-102605482:+	0.1242232607	0.0326340326
	ENSG00000280145	ENSG00000280145;SE:21:6632437-6634604:6634768-6670522:-	-0.209866149	0.0464535465
	ENSG00000284116	ENSG00000284116;SE:9:39984410-39988444:39988564-40106358:-	-0.2746236384	0.0444555445
	ENSG00000286431	ENSG00000286431;SE:X:3815308-3817457:3817605-3822547:+	0.3282640399	0.0354645355
	ENSG00000293471	ENSG00000293471;SE:4:122730635-122731630:122731683-122732052:-	0.2745470826	0.0434565435
FBXL9P	ENSG00000293507	ENSG00000293507;SE:16:67208090-67208312:67208455-67210048:-	-0.3171383055	0.0224775225
	ENSG00000293628	ENSG00000293628;SE:9:62260210-62261267:62261442-62262155:+	-0.251814922	0.04995005
	ENSG00000303114	ENSG00000303114;SE:1:194158168-194159280:194159316-194167495:-	-0.4562329856	0.0154845155
	ENSG00000304583	ENSG00000304583;SE:19:53945837-53948373:53948496-53951492:+	-0.3251826376	0.0404595405
	ENSG00000310351	ENSG00000310351;SE:17:40131298-40134830:40134927-40140521:-	-0.4694201517	0.006993007
WASH7P	ENSG00000310526	ENSG00000310526;SE:1:18061-24738:24819-29321:-	0.2850592173	0.0184815185
