gene_name	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	Con1	Con2	log2fold_Con2_Con1	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.SRR5938419_Aligned.sortedByCoord.out	countData.SRR5938420_Aligned.sortedByCoord.out	countData.SRR5938421_Aligned.sortedByCoord.out	countData.SRR5938422_Aligned.sortedByCoord.out	countData.SRR5938423_Aligned.sortedByCoord.out	countData.SRR5938424_Aligned.sortedByCoord.out	countData.SRR5938425_Aligned.sortedByCoord.out	countData.SRR5938426_Aligned.sortedByCoord.out	countData.SRR5938427_Aligned.sortedByCoord.out	countData.SRR5938428_Aligned.sortedByCoord.out	countData.SRR5938429_Aligned.sortedByCoord.out	countData.SRR5938430_Aligned.sortedByCoord.out	countData.SRR5938456_Aligned.sortedByCoord.out	countData.SRR5938457_Aligned.sortedByCoord.out	countData.SRR5938458_Aligned.sortedByCoord.out	countData.SRR5938459_Aligned.sortedByCoord.out	countData.SRR5938460_Aligned.sortedByCoord.out	countData.SRR5938461_Aligned.sortedByCoord.out	countData.SRR5938462_Aligned.sortedByCoord.out	countData.SRR5938463_Aligned.sortedByCoord.out	countData.SRR5938464_Aligned.sortedByCoord.out	countData.SRR5938465_Aligned.sortedByCoord.out	countData.SRR5938466_Aligned.sortedByCoord.out	countData.SRR5938467_Aligned.sortedByCoord.out
HPS4	ENSG00000100099	E057	18.9133060611167	0.0110980335039218	13.3734356231131	0.000255213414482854	0.0238639266392304	1.22128966459813	1.37708620826586	0.545077284712288	22	26475370	26476618	1249	-	7	33	16	4	29	25	22	14	15	14	11	18	26	16	37	13	30	31	32	15	14	22	22	28
DDX17	ENSG00000100201	E006	26.0562043350527	0.0263599610161048	17.0346135056628	3.6704583095271e-05	0.00883508388040279	1.51384498925605	1.32389990613089	-0.65621315748741	22	38487879	38488025	147	-	16	58	26	17	59	41	38	40	29	43	27	17	38	20	15	17	20	37	21	27	16	16	12	17
DDX17	ENSG00000100201	E026	49.9214984548781	0.00826589099618501	11.5587758312253	0.0006743023389787	0.0391971554179976	1.7472260467081	1.65696270284992	-0.305934552466963	22	38501130	38501280	151	-	36	79	39	44	82	107	71	58	43	69	43	42	60	44	56	37	46	60	50	64	25	48	26	52
DDX17	ENSG00000100201	E029	157.872142999268	0.0218713017473801	16.7747229158671	4.20902575513111e-05	0.00931388148995527	2.25986317690714	2.12959415426755	-0.435536508568986	22	38505951	38506294	344	-	108	238	165	105	314	309	308	178	147	222	123	155	201	130	177	107	132	192	126	178	76	185	95	116
FBXO7	ENSG00000100225	E009	10.6575712101511	0.0475401065035853	13.8204466863237	0.000201135417880568	0.0212143328060887	1.15703257001525	0.919770659132197	-0.868900958568008	22	32478981	32479132	152	+	12	25	9	7	25	18	16	17	13	15	13	8	14	4	1	6	12	18	7	10	6	5	4	3
FBXO7	ENSG00000100225	E021	32.6531115290863	0.0339071385351656	16.7145940944829	4.34454990725842e-05	0.0095057388974547	1.60419556080713	1.40988227605184	-0.666414485200716	22	32493105	32493281	177	+	34	81	26	27	58	53	57	44	40	33	38	26	20	28	27	12	22	55	26	31	24	25	9	28
PPP6R2	ENSG00000100239	E020	31.0711029362396	0.0171205275913398	11.1328243226836	0.000848133523140872	0.0440585430509387	1.56183306785985	1.42720878523968	-0.462072995417959	22	50431173	50431382	210	+	18	33	62	15	53	74	41	38	38	51	30	28	33	16	35	21	18	26	39	48	23	24	11	21
SBF1	ENSG00000100241	E014	139.195632796546	0.0145408230441788	17.0510824627229	3.63876270467999e-05	0.00882431715659128	2.08933220728403	2.20087568374874	0.373219009035858	22	50445751	50446805	1055	-	104	197	90	97	218	225	164	112	112	168	83	146	196	147	148	95	198	146	197	156	123	176	109	143
AP1B1	ENSG00000100280	E031	18.5768763323539	0.0425450009587893	16.4155694440971	5.08657081069544e-05	0.0102667997439551	1.38553446399557	1.14134260404025	-0.858696527767329	22	29356426	29356616	191	-	11	17	22	14	34	60	39	32	31	21	21	18	22	11	0	6	15	14	18	25	10	17	7	10
RBFOX2	ENSG00000100320	E002	4067.99431047128	0.00436164065057562	21.5705503537496	3.41048593596434e-06	0.00274095963081643	3.63483158664809	3.58376157662805	-0.169692647274104	22	35738758	35743601	4844	-	2878	3065	3390	2766	4983	6924	5864	3419	5001	6512	2242	3810	5070	4697	5669	3903	3667	4015	5247	5423	4027	4576	2428	4361
RBFOX2	ENSG00000100320	E016	229.441598031216	0.0112938920226953	11.4420225473626	0.000718015936218089	0.040610711202056	2.32920232968523	2.38831024668246	0.197216271598292	22	35746562	35748632	2071	-	145	210	89	127	258	333	295	163	262	325	133	188	283	295	428	312	256	270	264	331	208	309	148	282
RBFOX2	ENSG00000100320	E017	193.764731562014	0.00970965473291072	17.2715708000451	3.23998276377056e-05	0.00834068410423622	2.2474038040249	2.32301079861231	0.252471869771082	22	35748633	35750183	1551	-	115	149	73	104	207	316	275	162	204	236	95	168	242	270	336	219	179	228	236	266	223	262	125	324
RBFOX2	ENSG00000100320	E033	19.2773630436855	0.0309317336081889	18.9436646841662	1.34635611780377e-05	0.00527934463838489	1.1912935299766	1.39925817674112	0.728127299811134	22	35772931	35772971	41	-	13	18	5	4	16	28	18	5	20	36	4	9	32	31	44	27	18	35	28	19	30	37	9	26
RBFOX2	ENSG00000100320	E034	91.529560645844	0.0136295649576849	11.9234483151404	0.000554317789126798	0.0356104008747046	1.92144749837572	2.0031541462765	0.274421192601636	22	35777656	35778024	369	-	49	65	41	36	98	159	108	86	94	118	41	95	153	143	153	126	68	136	112	103	92	115	65	118
MTMR3	ENSG00000100330	E034	241.557263201601	0.00389216341608011	13.9914806262887	0.000183640834997824	0.0204328794510279	2.40785724689693	2.35387911538123	-0.18006107836774	22	30019652	30020884	1233	+	163	342	257	162	364	430	348	223	222	318	174	243	280	239	279	154	300	261	244	318	181	220	204	221
TNRC6B	ENSG00000100354	E007	28.6455752114537	0.0244290403839538	12.2921311289374	0.000454872034341398	0.0323588045731994	1.36340076236878	1.54866701087865	0.637946115585613	22	40177942	40178140	199	+	16	23	20	24	26	28	29	19	19	37	16	28	29	37	54	31	35	38	30	26	23	38	34	55
TNRC6B	ENSG00000100354	E012	89.9082287411824	0.0265323323750946	15.6916362240361	7.45531106703919e-05	0.0126877992547535	2.02619312801252	1.86781998717513	-0.532150445715834	22	40264688	40265002	315	+	58	198	141	64	135	186	113	102	103	111	72	89	95	82	69	58	86	55	77	168	59	62	40	65
KIAA0930	ENSG00000100364	E005	23.7683936546454	0.0228449539499882	14.1136190410761	0.000172093268622134	0.0198718493521646	1.44851792147322	1.29535460920183	-0.531496846394094	22	45196749	45196963	215	-	16	54	27	17	53	50	43	47	17	30	24	16	23	18	20	3	17	27	17	25	15	20	18	11
FAM118A	ENSG00000100376	E044	27.2418738710556	0.00532898799008519	12.1110191742798	0.000501247314466797	0.0338267150191799	1.50171459722412	1.39703328727417	-0.360589784076228	22	45340386	45340761	376	+	16	28	33	24	44	41	43	25	30	29	15	18	28	23	44	8	34	18	43	35	34	40	10	36
ZC3H7B	ENSG00000100403	E016	20.9277680974341	0.0231739073180862	15.1815843403974	9.76511193209162e-05	0.0147915587998159	1.40727408024669	1.24905166797838	-0.551674426206333	22	41346003	41346208	206	+	19	30	30	12	33	67	42	18	15	32	23	20	23	14	14	14	18	18	26	22	9	21	4	19
BRD1	ENSG00000100425	E018	12.5015994646857	0.0462712260940877	10.8984236191663	0.000962461329220034	0.0471039327736947	1.00164420302868	1.24206602059751	0.864976650382394	22	49818212	49818383	172	-	6	8	11	7	20	17	7	10	12	9	6	9	26	13	41	10	8	15	19	17	20	11	9	15
MLC1	ENSG00000100427	E001	1126.23208944645	0.00859974199134053	11.1889656090397	0.000822852041457361	0.043441405875984	3.02881854596208	3.07144275342144	0.141720873927836	22	50059391	50061460	2070	-	936	1572	782	535	1763	1724	1425	876	564	1307	781	789	1450	1198	1496	862	1584	1419	1394	1708	1013	1100	1122	1438
MLC1	ENSG00000100427	E002	15.7366507616451	0.0316439197285968	21.6073882208066	3.34560602886065e-06	0.00273400675531582	1.34882540024069	1.09230253862343	-0.907674222774403	22	50061461	50061657	197	-	11	13	18	9	41	62	28	16	9	31	16	14	17	11	20	5	9	16	16	20	7	12	6	17
NIN	ENSG00000100503	E038	54.8545075134376	0.00827123481500043	12.3618456958582	0.000438197275160233	0.0319139052746449	1.68752502141334	1.79726825165999	0.371296984852556	14	50754868	50755757	890	-	30	56	20	17	57	94	59	41	70	52	24	52	89	81	103	92	54	85	66	63	51	73	34	67
DDHD1	ENSG00000100523	E036	11.0003267071587	0.00980472260558122	18.2609387409032	1.92616629587247e-05	0.00639289991837593	1.17556596790564	0.954599727021759	-0.804150306531935	14	53103683	53103856	174	-	11	20	17	12	21	21	15	9	13	17	8	8	12	11	11	8	8	9	7	15	3	9	2	13
CHGA	ENSG00000100604	E016	10.5817833880808	0.0504855237206561	11.4875343890691	0.000700645215060518	0.0400793791669266	0.934425128535535	1.18295330708284	0.906040889567712	14	92932852	92933255	404	+	7	12	8	2	16	11	8	4	13	12	6	5	26	12	34	11	9	13	19	11	7	15	11	7
HIF1A	ENSG00000100644	E025	74.9850841952662	0.00958503804758253	11.7499908947351	0.000608435358165285	0.0372920577556789	1.91435377979474	1.83344677449544	-0.272414583097424	14	61740899	61741188	290	+	69	75	142	40	141	135	92	81	68	109	52	62	84	83	78	52	60	83	68	99	60	67	28	78
HIF1A	ENSG00000100644	E031	136.868993247015	0.0338651755509754	12.0341537160035	0.000522345445890425	0.0346021833999048	2.04992161263029	2.21946177069544	0.567387991574726	14	61747772	61748258	487	+	118	132	91	71	198	121	127	82	164	156	75	103	196	153	315	102	153	241	165	119	179	124	65	281
PCNX1	ENSG00000100731	E025	55.0227876395132	0.00202202096641466	13.5794217334665	0.000228678672114417	0.0225081843607678	NA	NA	NA	14	71011550	71012838	1289	+	26	71	29	25	83	82	68	41	46	59	28	45	75	66	112	65	56	82	63	72	53	79	38	78
PCNX1	ENSG00000100731	E061	25.2000847835527	0.0203881603708116	15.08853528211	0.000102584428724003	0.0151625037054844	NA	NA	NA	14	71105235	71105440	206	+	17	30	30	14	52	51	38	33	24	34	22	30	29	14	17	16	18	34	36	34	20	16	12	25
ARHGAP5	ENSG00000100852	E010	154.346687458565	0.0139906956755608	13.4481935108447	0.000245242210478784	0.0235388069696271	2.24416065146911	2.13474100404057	-0.36585569490779	14	32090781	32091089	309	+	121	240	106	113	260	310	234	190	128	206	127	139	187	163	253	117	89	243	140	188	116	139	57	140
SEC23A	ENSG00000100934	E010	18.8701191242363	0.0274257853366599	12.5898753972651	0.000387841999753559	0.0300048393858668	1.36726638360284	1.20966975223995	-0.552113771498698	14	39045163	39045324	162	-	21	9	16	17	28	40	29	36	24	20	10	16	23	19	24	12	13	17	24	14	15	17	9	22
BMP7	ENSG00000101144	E001	175.844219805387	0.0199763803698534	12.0101877632423	0.000529105266909581	0.0347891653020761	2.21465247578956	2.27898927120768	0.214940916619625	20	57168753	57170530	1778	-	131	348	57	96	324	292	201	139	79	205	94	107	186	248	289	132	223	328	189	219	163	232	154	168
BMP7	ENSG00000101144	E002	34.2365382375101	0.0384073397519186	11.123604520076	0.000852359803961989	0.0441131354423032	1.61205939016607	1.47828717180197	-0.457473794492991	20	57170531	57170916	386	-	22	60	28	15	64	81	59	41	21	62	25	29	45	44	15	33	26	48	25	44	36	30	17	21
TPD52L2	ENSG00000101150	E006	33.0334886934047	0.00927677901714226	11.5724485532537	0.000669362179479509	0.0390478671299726	1.57427165093711	1.46334357521151	-0.380036847015566	20	63875816	63875875	60	+	25	78	36	15	40	58	46	38	35	56	27	39	28	30	22	13	37	35	23	37	20	35	35	27
DIDO1	ENSG00000101191	E021	149.022305642528	0.0118389098392426	11.9367007206571	0.000550388614030329	0.0355163179562	2.21254674036217	2.12988331730965	-0.276468736736323	20	62910774	62911614	841	-	89	244	226	98	192	307	240	149	161	205	118	130	146	112	133	74	177	147	153	282	94	154	71	124
CSNK2A1	ENSG00000101266	E002	15.0162142848978	0.0251416540900451	11.0528968107699	0.000885487369798848	0.044942643404728	1.27200808545712	1.08724902165175	-0.657617628077892	20	472508	473260	753	-	13	23	24	16	19	27	25	10	22	25	9	12	8	15	4	12	14	17	12	7	13	12	12	17
CSNK2A1	ENSG00000101266	E028	90.8757094315382	0.00460940727645474	16.269443252854	5.4942871678344e-05	0.0106433754964786	2.00114951577222	1.91156207389666	-0.300936583957228	20	483390	483764	375	-	78	95	102	64	122	171	117	93	115	138	60	109	79	81	129	74	68	102	102	114	85	94	40	75
CSNK2A1	ENSG00000101266	E035	10.2134485363081	0.0797549742473555	21.0335681064315	4.51306680981299e-06	0.00318027315208025	1.18057368797299	0.814882357485783	-1.35614439505879	20	487427	487575	149	-	6	18	21	10	13	22	13	16	16	14	17	9	8	9	0	6	4	6	3	20	3	4	5	3
CST3	ENSG00000101439	E002	1058.72534024768	0.0882324365871571	16.8460238101848	4.05381702453034e-05	0.00927579323677506	2.94083959632554	3.1037120707757	0.541568165313052	20	23633657	23633913	257	-	795	745	652	519	1759	1942	1291	837	452	1402	814	669	1317	1204	2065	496	945	1174	1904	1012	1030	943	1219	2147
CST3	ENSG00000101439	E005	228.273304015169	0.0980522293841578	17.6475415079103	2.65858706042167e-05	0.00749415122096542	2.42469033042492	2.26850779218703	-0.521186297476033	20	23637620	23637932	313	-	196	204	446	185	305	390	374	235	253	404	218	203	257	135	234	84	128	136	303	590	77	189	87	133
PPP1R16B	ENSG00000101445	E016	24.6526013371547	0.026355042235389	17.3239540885625	3.15188590068577e-05	0.00827857293515297	1.46751457703664	1.31081009272854	-0.542849045842184	20	38908028	38908193	166	+	13	29	45	12	55	68	35	37	33	42	20	31	28	20	25	12	19	22	29	18	14	14	9	10
CDH20	ENSG00000101542	E018	84.2368638395236	0.0231205996625072	14.2094689834098	0.000163545466475371	0.0194189773295041	1.85060849341225	1.99811243141974	0.495929395383913	18	61555133	61555779	647	+	63	133	22	48	133	116	83	67	49	79	55	81	100	147	93	82	112	189	75	59	60	81	110	95
CEP192	ENSG00000101639	E021	16.6186092155749	0.0168451873539712	11.2096375024496	0.000813736137421501	0.0432527908293953	1.17078621695907	1.31878661502555	0.521487556802567	18	13040830	13040956	127	+	8	24	8	6	16	24	17	12	19	25	5	7	20	27	31	22	18	29	27	17	14	21	9	33
CEP192	ENSG00000101639	E023	213.795076623488	0.00503729897957898	10.6884110079604	0.00107808766971036	0.0499236731088828	2.36842740526963	2.29822576271073	-0.234293515228265	18	13048859	13049681	823	+	163	461	188	88	331	370	249	179	216	275	160	193	251	194	232	151	240	353	246	273	154	207	124	248
NOL4	ENSG00000101746	E041	25.7411463320625	0.030635123675176	22.3855108304083	2.23050405073834e-06	0.00214641809609607	1.5253154416923	1.29024450497449	-0.813106198651298	18	34224218	34224643	426	-	15	14	50	23	34	58	36	31	42	35	24	29	27	16	13	24	9	17	43	44	19	21	4	12
MIB1	ENSG00000101752	E002	25.5749725616976	0.0743993573847383	11.1960313518267	0.000819724633946384	0.0433800692496572	1.51904460887768	1.29707572733706	-0.767720861906643	18	21740792	21741812	1021	+	19	35	42	29	46	36	30	20	37	42	21	26	36	13	12	10	18	19	18	55	18	21	15	17
PGRMC1	ENSG00000101856	E002	143.047639792063	0.024206121893097	18.4207755458805	1.77116343346724e-05	0.00615137711610556	2.19685063143886	2.10790874668741	-0.297557294168841	X	119236285	119236691	407	+	122	145	110	110	255	249	274	138	139	215	126	158	164	105	165	85	89	154	167	129	106	190	101	137
PGRMC1	ENSG00000101856	E004	2241.28611553948	0.0230139692411058	19.4892820656592	1.0116573489779e-05	0.00463206264379099	3.30622147896983	3.39351002656925	0.290096118354127	X	119243151	119244465	1315	+	2090	2081	1114	1681	2718	2628	2856	1602	2658	2983	1056	2379	2102	2458	4020	2366	1594	3751	2506	2319	2472	3311	1456	2617
STAG2	ENSG00000101972	E071	26.0777147621262	0.0263255407997616	11.5363679088482	0.000682478429009259	0.0395144283678052	1.5054524793031	1.34323150921495	-0.560101486957317	X	124086547	124086770	224	+	30	49	28	10	59	39	36	24	29	30	19	29	21	36	12	16	22	27	22	33	21	26	16	28
SMARCA1	ENSG00000102038	E015	10.8242190869261	0.0782060383063439	11.0571539703278	0.000883456500576027	0.0449333738781466	1.16685875090328	0.960646302155059	-0.750559210915449	X	129488937	129489085	149	-	8	14	15	5	22	35	18	14	12	9	9	9	11	7	0	17	3	12	11	25	5	6	5	7
SMARCA1	ENSG00000102038	E020	27.5801298572491	0.023148763588835	17.0732053097733	3.59661835959328e-05	0.00874391872492519	1.52532200652285	1.37826353623129	-0.50650712503796	X	129497845	129498071	227	-	18	27	26	19	50	61	40	32	32	40	20	33	31	34	14	17	11	37	37	41	24	16	14	34
TAFAZZIN	ENSG00000102125	E045	9.16017862000216	0.0127288234321896	13.4911508655992	0.000239691141085667	0.0232932030417115	1.06750184500476	0.884051407819746	-0.682209586495427	X	154413568	154414100	533	+	6	18	11	12	24	15	15	14	12	16	6	8	10	3	0	2	6	11	8	10	6	9	3	7
EEA1	ENSG00000102189	E017	16.3636099703385	0.0056442437881793	13.8879503446622	0.000194038502917417	0.0210870404471337	1.2824349489765	1.16136826683916	-0.427942097167579	12	92816200	92816400	201	-	13	17	11	14	28	31	21	22	19	22	15	20	16	11	18	16	13	19	9	15	15	16	13	13
RP2	ENSG00000102218	E002	30.0382410903091	0.0139342599713977	11.3320956315307	0.000761788843191589	0.0418772853844032	1.53479641568863	1.43059524524791	-0.357958782642102	X	46853476	46854141	666	+	27	47	48	17	60	32	36	25	20	28	21	33	23	27	43	22	25	36	30	39	31	27	24	31
RP2	ENSG00000102218	E005	74.4818958029507	0.0124135959911623	12.0979102564494	0.000504783653692073	0.0339241127760465	1.83946925763934	1.90166946240332	0.209448770446625	X	46879686	46882358	2673	+	73	99	47	46	94	75	76	39	61	72	40	80	71	77	141	87	68	138	76	102	75	87	48	122
CDK16	ENSG00000102225	E059	22.8754818702588	0.0107824903862849	14.5512169133793	0.000136400526657448	0.0177281709428717	1.42293975507794	1.29649575665505	-0.439300578153031	X	47228817	47228990	174	+	14	7	35	25	36	44	35	30	27	30	23	25	31	19	34	11	8	18	30	22	15	22	13	15
NALCN	ENSG00000102452	E045	27.9169192839023	0.0472330163340155	13.214999157919	0.00027771762381235	0.0252401196684633	1.54561589566856	1.35229373824116	-0.666104243756043	13	101180631	101181337	707	-	18	47	24	25	47	59	65	33	34	31	20	30	38	18	5	15	38	23	32	25	17	19	17	31
NALCN	ENSG00000102452	E066	12.5353505110131	0.072395805395815	12.6428767629021	0.000376999397709866	0.0296215704337901	1.23669980547497	0.988215365741121	-0.895691685145552	13	101376700	101376828	129	-	9	15	19	8	22	21	34	22	9	23	11	11	18	10	0	3	8	23	11	8	6	10	8	9
NDFIP2	ENSG00000102471	E048	307.003232713917	0.00886080260399796	17.88136143717	2.35112498271216e-05	0.00712266355354599	2.53466675725847	2.43542136574606	-0.330771065600189	13	79552516	79552908	393	+	262	193	238	279	363	415	454	261	431	407	218	361	310	319	597	338	156	437	281	224	336	386	97	353
VWA8	ENSG00000102763	E045	12.5175376527189	0.00756706486243485	16.4322215831087	5.0420831231863e-05	0.0102363761043293	1.23099956967169	1.03345818379495	-0.709035675619728	13	41887197	41887361	165	-	11	20	10	5	25	29	25	14	9	28	7	14	8	7	17	6	14	12	11	15	11	9	9	14
INTS6	ENSG00000102786	E010	17.3219406089241	0.118184351766337	12.6170775047067	0.000382238475648717	0.0298165239552197	1.39066455879082	1.1065938325975	-1.00128351431158	13	51368939	51369131	193	-	7	37	22	7	42	34	22	26	31	26	18	15	28	16	0	10	9	15	14	29	15	14	2	10
TSC22D1	ENSG00000102804	E011	325.325248685373	0.0187637084809616	12.6422003210765	0.000377135834349698	0.0296215704337901	2.55799990747927	2.45971787744283	-0.327502760043483	13	44436650	44436858	209	-	285	236	384	261	528	651	523	407	429	464	208	261	494	293	514	195	174	331	406	251	197	292	138	437
TSC22D1	ENSG00000102804	E016	44.8925219864222	0.0344773312865449	16.115249997092	5.96021560933362e-05	0.0111462909066396	1.52756832193365	1.77078531859535	0.82674771183583	13	44538326	44538721	396	-	27	49	10	29	46	47	46	33	48	40	18	31	76	86	128	65	35	58	55	43	50	54	19	75
CORO1A	ENSG00000102879	E037	9.84903860298796	0.0612972316135012	14.7983794171645	0.00011963827010345	0.016291088324968	1.13942361749783	0.868041916924962	-1.00293967967027	16	30187502	30187724	223	+	8	16	12	15	13	23	12	17	27	10	4	11	5	6	12	7	2	6	11	13	1	6	1	10
NFAT5	ENSG00000102908	E015	112.827693224543	0.0470061060809904	14.9482271294039	0.00011050184478284	0.0156873903616818	1.9393440379381	2.14837774301298	0.7007921292138	16	69626529	69628948	2420	+	78	147	34	52	98	157	108	78	72	115	58	88	161	166	217	171	105	195	124	123	139	197	54	177
NFAT5	ENSG00000102908	E018	18.5538544938729	0.0332671225423992	12.1065404285044	0.000502452706367369	0.0338693604086505	1.18662608603825	1.3779003471961	0.6707322521689	16	69644797	69644856	60	+	8	22	6	3	27	23	17	7	16	19	15	20	18	29	35	26	15	26	21	26	19	39	14	31
NFAT5	ENSG00000102908	E029	17.2230402902122	0.0205104756522677	11.0331288028162	0.000894979671947008	0.0452869538839196	1.17330917892586	1.33523195207801	0.56983228627118	16	69676895	69677202	308	+	10	20	7	5	28	28	20	13	9	18	7	13	32	29	14	19	17	19	26	22	13	26	22	29
CTCF	ENSG00000102974	E016	60.2478776864801	0.00279028299960175	16.4147607187458	5.08874141515986e-05	0.0102667997439551	1.82122452750003	1.74085063548357	-0.271497915921564	16	67610827	67611239	413	+	48	87	58	50	95	95	100	56	64	101	41	59	61	63	98	53	42	53	64	71	46	69	28	37
CYB5B	ENSG00000103018	E013	20.447562580058	0.00686215907778818	12.6658996265856	0.000372385306547753	0.0295134323720805	1.26613629259276	1.39165863081671	0.437573628129961	16	69449223	69449966	744	+	18	25	5	11	31	30	20	12	16	20	8	24	32	29	37	23	32	32	28	22	19	17	11	30
METRN	ENSG00000103260	E018	156.514043260883	0.00811680742187984	11.5021825482455	0.000695145177412053	0.0399291718385189	2.17672607021659	2.21025381240769	0.112094882061003	16	717818	719655	1838	+	117	222	163	94	234	190	240	118	127	158	123	150	172	146	179	97	165	189	244	218	116	196	140	156
GSPT1	ENSG00000103342	E004	148.129041909117	0.00588640671068797	11.8165572066515	0.000587063120066428	0.0366428370821437	2.19228895941692	2.15284321210552	-0.13192289899004	16	11872684	11873118	435	-	125	149	128	84	224	289	218	138	142	196	96	165	185	167	245	119	117	205	138	134	130	149	100	168
SALL1	ENSG00000103449	E005	31.5431697776253	0.00469182581763651	16.2103457527602	5.66837050942943e-05	0.0108083599717642	1.54674703604256	1.44764167882978	-0.340069562094266	16	51137112	51137552	441	-	28	73	10	25	69	57	50	32	21	38	38	51	27	26	32	15	26	41	29	34	22	35	15	10
RPGRIP1L	ENSG00000103494	E026	25.0532103956354	0.0462659566844901	11.3243681202266	0.00076496553203173	0.0419281217448504	1.30063681089793	1.50292906264873	0.700027362497145	16	53662882	53663411	530	-	16	23	3	9	19	29	36	25	22	26	6	14	53	31	78	24	40	28	42	14	33	38	16	37
CCP110	ENSG00000103540	E020	713.739924934053	0.013311805736265	10.923480490939	0.000949530514461091	0.0467771248273978	2.87737253589248	2.82346478979591	-0.179330886779908	16	19536198	19537587	1390	+	624	2027	401	364	1336	1102	940	667	618	860	581	851	695	741	918	398	771	1234	514	600	492	813	362	626
CCP110	ENSG00000103540	E040	634.61676224817	0.0161970571470765	11.4133079061568	0.000729198804237013	0.0408948482796036	2.76288572249576	2.84401378934067	0.269926644012131	16	19551623	19553408	1786	+	655	1270	163	364	1058	747	735	502	499	816	357	704	593	659	1330	423	720	1416	491	413	572	912	376	722
VPS35L	ENSG00000103544	E067	58.7106750676964	0.0119371324570268	11.3756697908488	0.000744123874230628	0.0412795609089741	1.81999968975426	1.72097837233154	-0.334630878105803	16	19700378	19700687	310	+	57	87	41	37	101	118	88	60	52	82	49	80	69	56	72	29	55	68	63	52	41	64	33	52
HERC1	ENSG00000103657	E051	14.7773708707393	0.0191529855157983	12.2187630158992	0.000473112886746374	0.0327853934474567	1.10422813548365	1.29294287719269	0.669667858573499	15	63664470	63664594	125	-	7	24	6	5	17	23	13	12	21	16	4	8	26	13	28	15	24	15	14	16	12	24	13	34
HERC1	ENSG00000103657	E061	15.6175484490015	0.0266204184972676	13.1132958518553	0.000293207400891457	0.025944719660683	1.12310456082252	1.330022983512	0.731232697090901	15	63680077	63680160	84	-	6	13	13	4	20	23	28	6	11	28	5	8	26	24	48	14	20	26	15	13	10	27	11	25
HERC1	ENSG00000103657	E088	23.8837218221364	0.0092074417504038	11.5838755279927	0.000665261495656182	0.0389251976498683	1.31593016436348	1.45944862051987	0.497222683931702	15	63746918	63747083	166	-	13	28	20	20	24	32	19	28	31	24	6	14	42	31	35	22	27	31	26	30	15	26	23	41
ACSBG1	ENSG00000103740	E001	78.9290780180152	0.0356906800582394	15.158427052865	9.88561074741402e-05	0.014909196701703	1.82308201395047	1.98155523417064	0.533150925476798	15	78167468	78170853	3386	-	64	96	23	30	160	158	82	72	43	106	37	55	98	95	188	99	82	111	71	95	84	79	64	92
TJP1	ENSG00000104067	E035	167.34060784801	0.00769740218804307	15.9918978290821	6.36141467501613e-05	0.0115601559033649	2.18308870873282	2.26863797496363	0.285890854746729	15	29758903	29760308	1406	-	111	388	98	78	249	217	163	141	139	167	102	164	222	186	188	131	177	260	152	234	132	207	150	255
TJP1	ENSG00000104067	E044	18.8906546435162	0.00511862792706458	17.0459379642997	3.64863397550027e-05	0.00882624526322137	1.20947264058909	1.37443742110944	0.577692610233398	15	29820527	29820674	148	-	6	31	14	11	28	22	18	13	18	20	13	8	23	27	23	19	31	34	17	24	15	28	16	26
SPG11	ENSG00000104133	E076	13.8014281715246	0.0528931796145356	10.9399639108406	0.00094112002512279	0.0465751440015729	1.26954840291743	1.05157603588972	-0.77853193829797	15	44620190	44620403	214	-	13	25	14	8	27	37	24	16	13	18	9	20	16	5	0	10	12	23	16	16	3	11	6	17
SPG11	ENSG00000104133	E077	22.10972694581	0.0113071435314111	12.3491518116726	0.000441186873565462	0.0319486620983805	1.27966372344793	1.43109355357225	0.526391421168286	15	44620404	44621709	1306	-	18	40	11	14	17	27	27	18	13	17	10	14	32	39	46	15	17	42	28	31	24	31	18	21
CSPP1	ENSG00000104218	E069	11.0589756673038	0.0409824232145023	12.2925371623668	0.000454773086064737	0.0323588045731994	1.18578937128363	0.946532773896515	-0.870690022705968	8	67115914	67116122	209	+	8	16	19	12	21	14	12	8	17	15	7	5	9	13	5	7	8	9	11	13	7	15	10	11
NBN	ENSG00000104320	E040	35.7970143560841	0.0199707160303027	13.7137809687773	0.000212886624203698	0.0217041976706648	1.63840468478187	1.481139008651	-0.53731766193345	8	89955283	89955555	273	-	31	31	48	11	60	76	60	42	53	62	24	35	32	46	32	24	20	30	41	34	29	36	21	41
BPNT2	ENSG00000104331	E011	18.5547945623155	0.0685737624849067	14.893318597797	0.00011376520659398	0.0158667604275308	1.36100016925902	1.1674464006664	-0.68034036415811	8	56993361	56993867	507	-	21	17	31	14	51	27	28	25	22	26	21	15	30	9	7	15	7	25	17	20	9	10	6	8
TRPS1	ENSG00000104447	E001	407.667576381785	0.019467396897194	13.8219966091769	0.00020096957119482	0.0212143328060887	2.55165063169369	2.66548178364111	0.379075186039177	8	115408496	115412548	4053	-	343	505	108	170	621	656	436	345	311	508	234	380	459	525	751	359	529	809	394	334	446	404	365	559
